query	grouping_confidence	location_confidence	orientation_confidence
scaffold_1518	1.0	1.0	1.0
scaffold_243	0.9232622974058499	0.0173394861782846	0.8356790692120033
scaffold_701	0.5140664961636828	0.0005507724515128431	0.6766169154228856
scaffold_520	0.3586869495596477	0.00013575156977903402	1.0
scaffold_134	0.6551489064865679	1.0	1.0
scaffold_2215	1.0	1.0	1.0
scaffold_824	1.0	1.0	1.0
scaffold_935	1.0	1.0	1.0
scaffold_566	0.8249400479616307	1.0	1.0
scaffold_768	0.6733668341708543	1.0	1.0
scaffold_658	0.6048988285410011	1.0	1.0
scaffold_486	0.437570303712036	0.0009670723066787654	1.0
scaffold_647	1.0	1.0	1.0
scaffold_1894	1.0	1.0	1.0
scaffold_1353	1.0	1.0	1.0
scaffold_936	1.0	1.0	1.0
scaffold_1906	1.0	1.0	1.0
scaffold_2182	1.0	1.0	1.0
scaffold_2079	1.0	1.0	1.0
scaffold_272	0.9692869974601994	0.03396495578556007	0.9939797535661332
scaffold_9	0.6464222563458272	0.0728044370971773	0.9481533803330169
scaffold_327	0.7478991596638656	0.0008036644691811231	0.9415730337078652
scaffold_117	0.39519156096298214	0.07114033950828529	1.0
scaffold_1150	1.0	1.0	1.0
scaffold_1315	0.5	1.0	1.0
scaffold_257	0.5170329670329671	0.000962747749602713	0.9551009564293305
scaffold_1257	0.5574229691876751	1.0	1.0
scaffold_1415	0.7796171753750647	1.0	1.0
scaffold_442	0.7250187828700225	0.0012513437356954553	0.8538860103626943
scaffold_746	0.970652650021901	1.0	1.0
scaffold_1350	1.0	1.0	1.0
scaffold_1701	1.0	0.0010441847060137194	0.7254335260115607
scaffold_732	0.4464	1.0	1.0
scaffold_799	1.0	1.0	1.0
scaffold_62	0.6450789736330635	1.0	0.999404624227939
scaffold_565	0.5460385438972163	1.0	1.0
scaffold_777	1.0	1.0	1.0
scaffold_873	1.0	1.0	1.0
scaffold_1500	1.0	1.0	1.0
scaffold_957	0.6031746031746031	1.0	1.0
scaffold_392	1.0	1.0	1.0
scaffold_1206	0.6375344986200552	0.0009004736257382129	0.8672438672438673
scaffold_500	0.7272727272727273	1.0	1.0
scaffold_400	0.7228606607839113	0.0033186142936415444	0.8474095102909865
scaffold_1598	1.0	1.0	1.0
scaffold_1225	1.0	1.0	1.0
scaffold_5	0.735259595660425	0.11506583577964327	0.9996568547003446
scaffold_1933	1.0	0.000564663158127828	0.6143790849673203
scaffold_363	0.8972222222222223	0.0021097597617212504	1.0
scaffold_1618	1.0	1.0	1.0
scaffold_145	0.8400161184096503	0.11386730898332949	0.7238341354213412
scaffold_21	0.4690838126540674	0.15431288313945069	0.5629766336138133
scaffold_1367	1.0	1.0	1.0
scaffold_663	1.0	0.6307692307692307	0.5934959349593496
scaffold_530	1.0	1.0	1.0
scaffold_1821	1.0	1.0	1.0
scaffold_1503	1.0	1.0	1.0
scaffold_323	0.9644970414201184	0.09207147992194721	0.596207473508087
scaffold_601	1.0	1.0	1.0
scaffold_524	1.0	1.0	1.0
scaffold_1510	1.0	1.0	1.0
scaffold_3	0.7254367078653513	1.0	1.0
scaffold_728	0.6657458563535912	1.0	1.0
scaffold_496	0.9415470125057898	1.0	1.0
scaffold_1858	1.0	1.0	1.0
scaffold_567	0.9245094112935522	1.0	1.0
scaffold_36	0.6575883575883575	1.0	1.0
scaffold_242	0.4499918624885762	0.011455396966283003	0.9976073892722012
scaffold_1011	1.0	1.0	1.0
scaffold_164	0.9246522873626505	0.11033335237659964	1.0
scaffold_16	0.7478831780402236	0.18282046318568682	1.0
scaffold_67	0.8714045134724554	0.5441692749860352	1.0
scaffold_869	1.0	1.0	1.0
scaffold_246	0.996411724867222	0.8901685631793478	1.0
scaffold_389	0.590620592383639	0.0026693340529468385	1.0
scaffold_189	0.6357246376811594	0.002445298535190084	0.9246923337473185
scaffold_480	0.9460798056256424	0.0896016426377789	1.0
scaffold_745	1.0	0.0007134029717537939	0.8640776699029126
scaffold_1504	0.7806215722120659	1.0	1.0
scaffold_435	0.33189655172413796	1.0	1.0
scaffold_221	0.9340378174859069	0.6037893151532265	0.9850563449289564
scaffold_1272	1.0	1.0	1.0
scaffold_1460	1.0	1.0	1.0
scaffold_121	0.4721824631277615	1.0	1.0
scaffold_142	0.9281617503054268	0.028877367808367832	0.9949057513765523
scaffold_38	0.35556396889652564	0.0036412613455756543	0.9965599148169383
scaffold_153	0.5471052107255586	1.0	1.0
scaffold_7	0.48662645062718823	1.0	1.0
scaffold_32	0.384381856624247	0.5883062883007931	0.7076825146423394
scaffold_113	0.34474707403727384	0.5418727038799585	1.0
scaffold_119	0.998394881861937	0.9694997885619779	0.9998926678435143
scaffold_91	0.5814723753995293	0.15734857607764827	1.0
scaffold_347	0.9994972451084001	0.038198407896444644	0.9988707988584803
scaffold_271	0.9830489696432528	0.03675831734935485	1.0
scaffold_17	0.6114875687266689	0.1551122126277141	1.0
scaffold_832	0.9617271835132483	0.007697413119376667	1.0
scaffold_475	0.4110756123535676	1.0	1.0
scaffold_381	0.48049052396878483	1.0	1.0
scaffold_373	0.5311918063314711	0.0007819347711521579	0.9658194566170026
scaffold_138	0.9984241955103395	1.0	1.0
scaffold_140	0.8909775819968834	1.0	1.0
scaffold_536	0.4294770206022187	0.00039215856519165843	0.6162361623616236
scaffold_64	0.998698263731768	0.45679768415740246	0.9997921288180817
scaffold_135	0.44562521260034116	0.4261377261859254	0.9971695379883662
scaffold_253	0.9548958596137135	0.049704957071399804	0.9911049788633162
scaffold_71	0.6671649044020309	0.10504176406338217	0.6902377029416492
scaffold_104	0.5360738155442383	0.27248056285506544	0.7878081592656772
scaffold_101	0.6354398751849485	0.10293047944822235	0.9992298910975411
scaffold_53	0.361483200277313	0.1345486191111281	1.0
scaffold_332	0.9977121544199639	1.0	1.0
scaffold_122	0.5445627064222994	0.04084685840773043	0.9975132495414702
scaffold_82	1.0	0.9751139739805742	0.9998939783715878
scaffold_156	0.6976036678263098	0.07647553722474078	0.9995645754951253
scaffold_320	0.4045714285714286	1.0	1.0
scaffold_1664	0.5844155844155844	1.0	1.0
scaffold_89	0.5334254341897516	0.05002501447025409	1.0
scaffold_335	0.9636148470959501	1.0	1.0
scaffold_245	0.9994394594664516	1.0	1.0
scaffold_1092	0.3657937806873977	0.00041103297091321043	1.0
scaffold_181	1.0	0.9785259895165609	0.9998465946075932
scaffold_52	0.3956096518455949	0.04522866813189882	0.9935559385691869
scaffold_18	0.5428203579129813	1.0	1.0
scaffold_623	1.0	6.451340113343071e-05	0.6216216216216216
scaffold_132	0.54571647689145	0.12663238458220719	1.0
scaffold_881	1.0	0.019175616304613133	0.9960222752585521
scaffold_4	0.6250565400912349	0.2604435707427891	0.997192795923395
scaffold_852	0.9712586719524281	1.0	1.0
scaffold_971	1.0	1.0	1.0
scaffold_118	0.991819156940909	0.06731491170024698	0.8793420712809917
scaffold_452	1.0	1.0	1.0
scaffold_458	1.0	1.0	1.0
scaffold_1566	0.7325581395348837	0.00010841557237685941	1.0
scaffold_184	1.0	1.0	1.0
scaffold_51	0.6256970297346094	0.20386466807340978	1.0
scaffold_35	0.7539422318438077	0.3614044031661045	0.5605530838116186
scaffold_25	0.28824172763523476	1.0	1.0
scaffold_141	0.5979358820742887	1.0	1.0
scaffold_559	0.47023809523809523	0.0005558807966405098	0.8734177215189873
scaffold_694	1.0	1.0	1.0
scaffold_2053	1.0	1.0	1.0
scaffold_2018	1.0	1.0	1.0
