query	grouping_confidence	location_confidence	orientation_confidence
scaffold_44	0.42736432729927554	0.027242130159015224	0.37259561420319215
scaffold_880	1.0	1.0	1.0
scaffold_155	0.6679172884246429	0.017445382493296233	0.9947019022086047
scaffold_550	0.8571428571428571	1.0	1.0
scaffold_1604	1.0	1.0	1.0
scaffold_405	1.0	1.0	1.0
scaffold_1327	1.0	1.0	1.0
scaffold_487	1.0	1.0	1.0
scaffold_1086	1.0	1.0	1.0
scaffold_1259	0.9211428571428572	1.0	1.0
scaffold_695	1.0	1.0	1.0
scaffold_270	0.37267080745341613	1.0	1.0
scaffold_32	0.5058509726720247	0.06181239244071319	0.9972115083915355
scaffold_1344	1.0	1.0	1.0
scaffold_26	0.9541277366839085	0.25858033637322086	1.0
scaffold_745	1.0	1.0	1.0
scaffold_991	0.5714285714285714	1.0	1.0
scaffold_1082	1.0	0.0001454095457699198	0.8516320474777448
scaffold_1020	1.0	1.0	1.0
scaffold_248	0.9823151125401929	1.0	1.0
scaffold_1134	1.0	1.0	1.0
scaffold_1633	1.0	1.0	1.0
scaffold_319	0.9671682626538988	1.0	1.0
scaffold_546	0.6976744186046512	0.0005732879104003114	0.7151515151515152
scaffold_3	0.3522693049452759	1.0	1.0
scaffold_54	0.5406259805317407	0.19459356066021544	0.7422763763968613
scaffold_177	0.32266427360654104	0.0006768815256524711	0.6282447466007417
scaffold_551	1.0	1.0	1.0
scaffold_1276	0.6103896103896104	1.0	1.0
scaffold_389	0.3785234899328859	1.0	1.0
scaffold_517	1.0	0.0026143686382320112	1.0
scaffold_790	0.9158007882479398	1.0	1.0
scaffold_480	0.6254681647940075	1.0	1.0
scaffold_631	1.0	1.0	1.0
scaffold_112	0.511814511886501	0.053541548212448	0.7792588585339465
scaffold_445	0.32285714285714284	1.0	1.0
scaffold_425	0.5060240963855421	1.0	1.0
scaffold_1177	1.0	1.0	1.0
scaffold_635	1.0	1.0	1.0
scaffold_439	1.0	0.022202226880329898	1.0
scaffold_785	0.9523199179697514	0.1998708774950234	0.9623149394347241
scaffold_324	0.9265938531877064	0.017944366560909024	1.0
scaffold_201	0.8692939244663382	0.006505345139239044	1.0
scaffold_935	1.0	1.0	1.0
scaffold_597	1.0	1.0	1.0
scaffold_590	0.8403201219512195	1.0	1.0
scaffold_1012	1.0	1.0	1.0
scaffold_364	0.4815964523281596	1.0	1.0
scaffold_1462	1.0	1.0	1.0
scaffold_1420	1.0	1.0	1.0
scaffold_588	1.0	1.0	1.0
scaffold_937	0.5428571428571428	1.0	1.0
scaffold_283	0.2925764192139738	1.0	1.0
scaffold_1470	1.0	1.0	1.0
scaffold_116	0.9108167139561942	1.0	1.0
scaffold_915	0.6787330316742082	1.0	1.0
scaffold_656	1.0	1.0	1.0
scaffold_1087	1.0	1.0	1.0
scaffold_703	1.0	1.0	1.0
scaffold_503	0.6012145748987854	1.0	1.0
scaffold_115	0.6562506996968354	0.04184152025979499	0.5961869148674837
scaffold_1083	1.0	1.0	1.0
scaffold_1413	1.0	1.0	1.0
scaffold_93	0.6053205754676243	1.0	1.0
scaffold_1308	1.0	1.0	1.0
scaffold_61	0.6004973945997157	1.0	1.0
scaffold_191	0.469894670649269	0.0008964739092800796	0.9805955168952827
scaffold_515	1.0	1.0	1.0
scaffold_659	1.0	1.0	1.0
scaffold_422	0.9784578814440648	1.0	1.0
scaffold_388	0.6695331695331695	0.00013045867835065762	0.7779816513761468
scaffold_113	0.918216070363928	0.05578043736140396	0.5139733986652476
scaffold_333	0.8855744581682592	1.0	1.0
scaffold_1288	1.0	1.0	1.0
scaffold_1513	1.0	1.0	1.0
scaffold_811	0.6984126984126984	1.0	1.0
scaffold_1471	1.0	1.0	1.0
scaffold_17	0.4238697500630047	1.0	1.0
scaffold_4	0.9760637695059701	0.23129932083365726	1.0
scaffold_860	0.9007760532150776	0.4709917395294913	0.9867692307692307
scaffold_1077	1.0	1.0	1.0
scaffold_562	0.4697508896797153	1.0	1.0
scaffold_472	0.9577632361689471	1.0	0.9448356807511737
scaffold_1319	0.5523809523809524	1.0	1.0
scaffold_1205	1.0	1.0	1.0
scaffold_1450	1.0	1.0	1.0
scaffold_165	0.49373550718124787	1.0	1.0
scaffold_475	0.45408163265306123	1.0	1.0
scaffold_374	1.0	1.0	1.0
scaffold_1241	1.0	1.0	1.0
scaffold_436	0.47904191616766467	1.0	1.0
