query	grouping_confidence	location_confidence	orientation_confidence
scaffold_26	0.9984100385799463	0.9983724292370421	1.0
scaffold_1149	1.0	1.0	1.0
scaffold_1429	1.0	1.0	1.0
scaffold_517	0.7939857119122777	1.0	1.0
scaffold_631	0.572039942938659	1.0	1.0
scaffold_1370	1.0	1.0	1.0
scaffold_687	1.0	1.0	1.0
scaffold_785	1.0	1.0	1.0
scaffold_4	0.9994217831019793	0.9799739246907024	0.9973907868440909
scaffold_1487	1.0	1.0	1.0
scaffold_13	1.0	1.0	1.0
scaffold_81	1.0	0.87220366036766	0.9791452774064274
scaffold_211	0.916120112028929	1.0	1.0
scaffold_116	1.0	1.0	1.0
scaffold_381	1.0	1.0	1.0
scaffold_45	0.9382451143048794	0.8114828026098756	0.9949654550916192
scaffold_99	1.0	1.0	1.0
scaffold_129	0.9898952684938022	0.0638453175254485	0.9374771616884786
scaffold_28	0.5211196858304032	0.9951394322369482	0.9295490447450173
scaffold_1295	1.0	1.0	1.0
scaffold_1250	1.0	1.0	1.0
scaffold_651	1.0	1.0	1.0
scaffold_629	1.0	1.0	1.0
scaffold_752	1.0	1.0	1.0
scaffold_21	0.9974793476961392	0.23843445419689333	0.9974750948766603
scaffold_240	0.7717389199759909	1.0	1.0
scaffold_38	1.0	0.9893537164685625	0.9984450726600685
scaffold_570	1.0	1.0	1.0
scaffold_91	1.0	0.9725428764348413	1.0
scaffold_229	1.0	1.0	1.0
scaffold_214	0.8894229768816198	1.0	1.0
scaffold_88	1.0	1.0	1.0
scaffold_231	1.0	1.0	1.0
scaffold_136	0.9918913264238657	0.07890105036866008	0.9586981797977095
scaffold_351	1.0	1.0	1.0
scaffold_210	0.71561002270243	1.0	1.0
scaffold_311	1.0	1.0	1.0
scaffold_169	1.0	0.5540871226369242	1.0
scaffold_144	0.9983883714115735	1.0	1.0
scaffold_402	1.0	1.0	1.0
scaffold_278	1.0	1.0	1.0
scaffold_124	1.0	1.0	1.0
scaffold_153	1.0	1.0	1.0
scaffold_130	0.9908432880334026	1.0	1.0
scaffold_558	1.0	1.0	1.0
scaffold_140	0.9786553806073274	0.9536660529027494	0.9959321004831896
scaffold_220	1.0	1.0	1.0
scaffold_410	1.0	1.0	1.0
scaffold_72	0.9941034875258905	0.10846861086711942	0.9745831378069764
scaffold_287	1.0	0.0033027736998806627	0.9276988807317367
scaffold_157	1.0	1.0	1.0
scaffold_69	0.9977860924223253	0.9927640957939085	0.776354813616664
scaffold_195	1.0	1.0	1.0
scaffold_879	1.0	1.0	1.0
scaffold_105	1.0	0.027461807926855642	0.9975735956120392
scaffold_484	0.7696503621568452	1.0	1.0
scaffold_193	1.0	1.0	1.0
scaffold_683	1.0	1.0	1.0
scaffold_228	1.0	1.0	1.0
