query	grouping_confidence	location_confidence	orientation_confidence
scaffold_681	1.0	1.0	1.0
scaffold_3	1.0	0.9773730526659062	0.9963197733402441
scaffold_496	1.0	1.0	1.0
scaffold_67	1.0	0.8014504648165542	1.0
scaffold_246	1.0	1.0	1.0
scaffold_8	1.0	0.06204130570892454	0.995609648917316
scaffold_1186	1.0	1.0	1.0
scaffold_825	1.0	1.0	1.0
scaffold_817	1.0	1.0	1.0
scaffold_23	0.9978780029217618	0.9172960261370048	1.0
scaffold_306	0.8713924050632912	0.0001448196370715551	0.7085996513654852
scaffold_164	1.0	1.0	1.0
scaffold_38	0.8429453904686897	1.0	1.0
scaffold_36	1.0	0.05749300884702706	1.0
scaffold_442	1.0	1.0	1.0
scaffold_37	0.9859696978681768	0.6368989534025191	0.9930361035625765
scaffold_360	1.0	1.0	1.0
scaffold_182	0.9963576922888124	1.0	1.0
scaffold_559	0.6602895553257497	1.0	1.0
scaffold_34	0.9939806470992104	1.0	1.0
scaffold_173	0.950135953528612	0.03693675123986558	0.991902491691111
scaffold_130	1.0	1.0	1.0
scaffold_73	1.0	1.0	1.0
scaffold_51	0.9799964672081211	0.37555362150662414	1.0
scaffold_63	1.0	1.0	1.0
scaffold_351	1.0	1.0	1.0
scaffold_195	0.9944315723447561	1.0	1.0
scaffold_381	1.0	1.0	1.0
scaffold_202	0.9746662946907593	1.0	1.0
scaffold_204	0.7351119944958336	0.07228933777373497	1.0
scaffold_1055	1.0	1.0	1.0
scaffold_140	0.934234779205067	0.01712461137500295	1.0
scaffold_276	1.0	1.0	1.0
scaffold_447	1.0	1.0	1.0
scaffold_753	1.0	1.0	1.0
scaffold_169	0.9384460141271443	1.0	1.0
scaffold_1676	1.0	1.0	1.0
scaffold_344	1.0	1.0	1.0
scaffold_168	0.6812346961489946	0.06110604537860989	1.0
scaffold_127	0.8716371180067107	0.021944282562300434	0.9576619233619271
scaffold_58	0.9308806433065149	0.02635701491714355	1.0
scaffold_494	1.0	1.0	1.0
scaffold_262	1.0	1.0	1.0
scaffold_259	0.5029991431019709	1.0	1.0
scaffold_674	1.0	1.0	1.0
scaffold_75	0.9986376021798365	0.6121329906940901	1.0
scaffold_61	0.9802052556047323	0.2654781929887021	1.0
scaffold_138	0.7897641154100979	0.044041556984967554	0.9858878150246504
scaffold_1391	1.0	1.0	1.0
scaffold_963	1.0	1.0	1.0
scaffold_398	1.0	1.0	1.0
scaffold_46	0.9706192881112016	0.14349869410163438	1.0
scaffold_1312	1.0	1.0	1.0
scaffold_1678	1.0	1.0	1.0
scaffold_1071	1.0	1.0	1.0
scaffold_1814	1.0	1.0	1.0
scaffold_1590	1.0	1.0	1.0
scaffold_1291	1.0	1.0	1.0
scaffold_1283	1.0	1.0	1.0
scaffold_1048	1.0	1.0	1.0
scaffold_328	1.0	1.0	1.0
scaffold_159	1.0	1.0	1.0
scaffold_1111	1.0	1.0	1.0
scaffold_106	1.0	0.019703097095333598	0.9960672278276381
scaffold_477	1.0	1.0	1.0
scaffold_446	1.0	1.0	1.0
scaffold_244	0.9917410884665293	1.0	1.0
