query	grouping_confidence	location_confidence	orientation_confidence
scaffold_681	1.0	1.0	1.0
scaffold_612	1.0	1.0	1.0
scaffold_936	0.9694289059451021	1.0	1.0
scaffold_1044	1.0	1.0	1.0
scaffold_893	1.0	1.0	1.0
scaffold_799	1.0	1.0	1.0
scaffold_1265	1.0	1.0	1.0
scaffold_1651	1.0	1.0	1.0
scaffold_1773	1.0	1.0	1.0
scaffold_2092	1.0	1.0	1.0
scaffold_868	1.0	1.0	1.0
scaffold_3	0.9706294097659451	0.4143766323662125	1.0
scaffold_1443	1.0	1.0	1.0
scaffold_1433	0.8861209964412812	1.0	1.0
scaffold_820	0.8528379772961816	1.0	1.0
scaffold_457	0.7125744207732587	0.2784973366975049	0.6491846184819811
scaffold_1755	1.0	1.0	1.0
scaffold_1300	1.0	1.0	1.0
scaffold_496	0.9821296524525511	1.0	1.0
scaffold_67	0.9989335990798217	0.24776780815720728	1.0
scaffold_869	0.8424177010253643	1.0	1.0
scaffold_246	0.9841207562813699	1.0	1.0
scaffold_8	0.972482295042612	0.7910830579845339	1.0
scaffold_825	1.0	1.0	1.0
scaffold_817	1.0	1.0	1.0
scaffold_1345	1.0	1.0	1.0
scaffold_1342	0.8662016487000634	1.0	1.0
scaffold_1328	1.0	1.0	1.0
scaffold_707	0.8707893413775767	1.0	1.0
scaffold_23	0.9999008579945918	0.2276801408398278	0.9990788718791771
scaffold_164	0.9934240698961841	0.019383788361483315	1.0
scaffold_38	0.805934391503177	0.12225629801696959	0.9998970606232865
scaffold_1467	1.0	1.0	1.0
scaffold_1561	1.0	1.0	1.0
scaffold_1823	1.0	0.00017227284983186895	1.0
scaffold_1277	1.0	1.0	1.0
scaffold_1849	1.0	1.0	1.0
scaffold_36	0.9995561482307793	0.774274374019707	1.0
scaffold_442	1.0	1.0	1.0
scaffold_37	0.911670332266661	0.9994886162355299	1.0
scaffold_2216	1.0	1.0	1.0
scaffold_1299	1.0	1.0	1.0
scaffold_928	1.0	1.0	1.0
scaffold_1292	1.0	1.0	1.0
scaffold_360	0.9526729992932693	0.012150522751140392	1.0
scaffold_894	1.0	1.0	1.0
scaffold_1035	0.7785515320334262	3.176026826802053e-05	0.7155635062611807
scaffold_563	0.9258457374830853	1.0	1.0
scaffold_1589	1.0	1.0	1.0
scaffold_1185	0.7809021675454013	0.0004757689754370436	1.0
scaffold_182	0.7624988790500783	1.0	1.0
scaffold_34	0.8306582912776334	0.05885535619416923	0.9908407673096586
scaffold_1983	0.98370607028754	1.0	1.0
scaffold_2019	1.0	1.0	1.0
scaffold_1003	1.0	1.0	1.0
scaffold_173	0.9912722137932071	0.9704010617529953	0.991896253864339
scaffold_1112	1.0	0.4522365428354814	0.6144174350377201
scaffold_130	0.7843515615129274	0.007343497674132506	0.8704896907216495
scaffold_934	1.0	1.0	1.0
scaffold_73	0.9992166965795152	0.9397266893524416	1.0
scaffold_806	1.0	1.0	1.0
scaffold_932	1.0	1.0	1.0
scaffold_1000	1.0	1.0	1.0
scaffold_737	1.0	1.0	1.0
scaffold_979	1.0	1.0	1.0
