query	grouping_confidence	location_confidence	orientation_confidence
scaffold_1608	1.0	1.0	1.0
scaffold_338	0.5012141535615171	0.0013026750143656399	0.8861460376052601
scaffold_1604	1.0	1.0	1.0
scaffold_1520	1.0	1.0	1.0
scaffold_1452	1.0	1.0	1.0
scaffold_1124	1.0	1.0	1.0
scaffold_1275	1.0	1.0	1.0
scaffold_1294	1.0	1.0	1.0
scaffold_26	0.996652758576201	0.056143217595485045	0.9989348266349852
scaffold_517	0.637176407792901	1.0	1.0
scaffold_1539	1.0	1.0	1.0
scaffold_631	1.0	1.0	1.0
scaffold_1370	1.0	1.0	1.0
scaffold_1554	1.0	1.0	1.0
scaffold_687	1.0	1.0	1.0
scaffold_710	1.0	1.0	1.0
scaffold_785	0.9741859288004049	0.2759510609826037	0.5661586421891237
scaffold_935	1.0	1.0	1.0
scaffold_597	1.0	1.0	1.0
scaffold_4	0.9991485862502276	0.12989219102290964	0.9748245496768816
scaffold_1487	1.0	1.0	1.0
scaffold_936	1.0	1.0	1.0
scaffold_1622	1.0	1.0	1.0
scaffold_1077	1.0	1.0	1.0
scaffold_860	1.0	1.0	1.0
scaffold_472	0.9611568986568987	1.0	1.0
scaffold_13	0.999782536604168	0.9910414791433966	0.9999791610861068
scaffold_1042	1.0	1.0	1.0
scaffold_81	1.0	0.8860267588030194	0.9057231085215481
scaffold_211	0.9562513637355444	0.02853353915323027	0.9335891718093657
scaffold_116	1.0	1.0	1.0
scaffold_45	0.9108410553352151	0.10244206225395361	0.9950139100351537
scaffold_99	0.9984416237275355	1.0	1.0
scaffold_129	0.9836954875603506	0.07008954912080262	0.8779724790698676
scaffold_1053	0.7940409683426444	1.0	1.0
scaffold_746	1.0	1.0	1.0
scaffold_1243	1.0	1.0	1.0
scaffold_1215	1.0	1.0	1.0
scaffold_1295	1.0	1.0	1.0
scaffold_1445	1.0	1.0	1.0
scaffold_1250	1.0	1.0	1.0
scaffold_651	1.0	1.0	1.0
scaffold_629	1.0	1.0	1.0
scaffold_1259	1.0	1.0	1.0
scaffold_1143	1.0	1.0	1.0
scaffold_752	1.0	1.0	1.0
scaffold_1396	1.0	1.0	1.0
scaffold_1128	1.0	1.0	1.0
scaffold_21	0.9998201349608018	0.23062432290237883	0.9908244573612154
scaffold_240	0.7722435736495491	1.0	1.0
scaffold_38	0.7587498742834154	0.058388123773113726	0.7856645789839944
scaffold_353	1.0	1.0	1.0
scaffold_1581	1.0	1.0	1.0
scaffold_91	0.885520695955184	0.9885753959034596	1.0
scaffold_227	0.8540851455085852	0.014078286878006038	0.9971208972786221
scaffold_229	0.9881822380396099	1.0	1.0
scaffold_214	0.9762487368570498	0.009841264496032665	1.0
scaffold_88	0.9990749031702894	0.9992842091296507	0.9997292462915476
scaffold_744	1.0	1.0	0.8667597841864542
scaffold_231	0.9942602166178522	1.0	1.0
scaffold_136	0.9879980869433886	0.07965546801052704	0.9542320803460874
scaffold_351	0.9926905387647832	0.03970005715074	1.0
scaffold_210	1.0	0.012674098853267625	1.0
scaffold_311	1.0	1.0	1.0
scaffold_264	0.914242333866551	0.0022995090016366612	1.0
scaffold_169	0.8989143165554793	1.0	1.0
scaffold_144	1.0	0.16419296697787125	0.9993930960980519
scaffold_402	1.0	1.0	1.0
